Rk,Team,Conf,W-L,KenPom,Sagarin,Moore,BPI,Average Rank,First,Second,Third,Fourth,Fifth,Final
1,Villanova,BE,36-4,1,1,1,1,1,1,1,1,1,1,1
2,Virginia,ACC,31-3,2,7,5,2,4,0,0,0,0,0,0
3,Duke,ACC,29-8,3,2,2,3,2.5,1,1,1,0,0,0
4,Cincinnati,Amer,31-5,4,6,7,5,5.5,1,0,0,0,0,0
5,Purdue,B10,30-7,5,3,3,4,3.75,1,1,0,0,0,0
6,Michigan St.,B10,30-5,6,5,4,6,5.25,1,0,0,0,0,0
7,Michigan,B10,33-8,7,9,8,12,9,1,1,1,1,1,0
8,North Carolina,ACC,26-11,8,10,11,8,9.25,1,0,0,0,0,0
9,Kansas,B12,31-8,9,4,6,7,6.5,1,1,1,1,0,0
10,Gonzaga,WCC,32-5,10,12,21,10,13.25,1,1,1,0,0,0
11,Texas Tech,B12,27-10,11,11,9,11,10.5,1,1,1,0,0,0
12,West Virginia,B12,26-11,12,8,10,9,9.75,1,1,0,0,0,0
13,Tennessee,SEC,26-9,13,17,16,14,15,1,0,0,0,0,0
14,Clemson,ACC,25-10,14,18,12,26,17.5,1,1,0,0,0,0
15,Xavier,BE,29-6,15,13,13,13,13.5,1,1,0,0,0,0
16,Ohio St.,B10,25-9,16,20,17,17,17.5,1,0,0,0,0,0
17,Kentucky,SEC,26-11,17,14,15,19,16.25,1,1,0,0,0,0
18,Houston,Amer,27-8,18,22,18,18,19,1,0,0,0,0,0
19,Penn St.,B10,26-13,19,27,14,20,20,0,0,0,0,0,0
20,Butler,BE,21-14,20,23,19,21,20.75,1,0,0,0,0,0
21,Wichita St.,Amer,25-8,21,15,25,15,19,0,0,0,0,0,0
22,Florida,SEC,21-13,22,16,22,25,21.25,1,0,0,0,0,0
23,Auburn,SEC,26-8,23,31,28,23,26.25,1,0,0,0,0,0
24,TCU,B12,21-12,24,26,24,22,24,0,0,0,0,0,0
25,Nevada,MWC,29-8,25,32,35,31,30.75,1,1,0,0,0,0
26,Seton Hall,BE,22-12,26,24,23,27,25,1,0,0,0,0,0
27,Florida St.,ACC,23-12,27,21,20,25,23.25,1,1,1,0,0,0
28,Arizona,P12,27-8,28,19,29,26,25.5,0,0,0,0,0,0
29,Texas A&M,SEC,22-13,29,25,26,26,26.5,1,1,0,0,0,0
30,Creighton,BE,21-12,30,28,47,24,32.25,0,0,0,0,0,0
31,Loyola Chicago,MVC,32-6,31,56,58,43,47,1,1,1,1,0,0
32,Saint Mary's,WCC,30-6,32,36,50,28,36.5,0,0,0,0,0,0
33,Virginia Tech,ACC,21-12,33,37,30,30,32.5,0,0,0,0,0,0
34,Baylor,B12,19-15,34,42,33,38,36.75,0,0,0,0,0,0
35,Notre Dame,ACC,21-15,35,48,42,37,40.5,0,0,0,0,0,0
36,Texas,B12,19-15,36,35,36,40,36.75,0,0,0,0,0,0
37,Miami FL,ACC,22-10,37,34,32,35,34.5,0,0,0,0,0,0
38,Louisville,ACC,22-14,38,39,34,34,36.25,0,0,0,0,0,0
39,Maryland,B10,19-13,39,51,38,39,41.75,0,0,0,0,0,0
40,Missouri,SEC,20-13,40,37,45,49,42.75,0,0,0,0,0,0
41,Syracuse,ACC,23-14,41,43,27,45,39,1,1,0,0,0,0
42,Kansas St.,B12,25-12,42,40,54,47,45.75,1,1,1,0,0,0
43,Davidson,A10,21-12,43,54,48,33,44.5,0,0,0,0,0,0
44,Arkansas,SEC,23-12,44,41,30,41,39,0,0,0,0,0,0
45,Middle Tennessee,CUSA,25-8,45,60,66,42,53.25,0,0,0,0,0,0
46,North Carolina St.,ACC,21-12,46,52,53,48,49.75,0,0,0,0,0,0
47,Western Kentucky,CUSA,27-11,47,66,61,52,56.5,0,0,0,0,0,0
48,Oklahoma,B12,18-14,48,39,37,44,42,0,0,0,0,0,0
49,Arizona St.,P12,20-12,49,51,43,46,47.25,0,0,0,0,0,0
50,San Diego St.,MWC,22-11,50,50,49,53,50.5,0,0,0,0,0,0
51,USC,P12,24-12,51,42,41,51,46.25,0,0,0,0,0,0
52,Rhode Island,A10,26-8,52,44,40,36,43,1,0,0,0,0,0
53,Marquette,BE,21-14,53,49,39,50,47.75,0,0,0,0,0,0
54,Mississippi St.,SEC,25-12,54,58,59,58,57.25,0,0,0,0,0,0
55,Nebraska,B10,22-11,55,63,55,64,59.25,0,0,0,0,0,0
56,UCLA,P12,21-12,56,45,56,56,53.25,0,0,0,0,0,0
57,Alabama,SEC,20-16,57,47,44,54,50.5,1,0,0,0,0,0
58,Utah,P12,23-12,58,53,52,68,57.75,0,0,0,0,0,0
59,Oklahoma St.,B12,21-15,59,48,51,61,54.75,0,0,0,0,0,0
60,New Mexico St.,WAC,28-6,60,71,111,70,78,0,0,0,0,0,0
61,Boise St.,MWC,23-9,61,64,62,57,61,0,0,0,0,0,0
62,Murray St.,OVC,26-6,62,81,80,63,71.5,0,0,0,0,0,0
63,Providence,BE,21-14,63,44,46,62,53.75,0,0,0,0,0,0
64,Old Dominion,CUSA,25-7,64,72,73,59,67,0,0,0,0,0,0
