,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz,HomeTeam,AwayTeam
1318,2013020001,20132014,R,2013-10-01T23:00:00Z,10,8,4,3,away win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT,Montreal,Toronto
1485,2013020002,20132014,R,2013-10-02T00:00:00Z,15,16,4,6,home win REG,right,United Center,/api/v1/venues/null,America/Chicago,-5,CDT,Chicago,Washington
2034,2013020003,20132014,R,2013-10-02T02:00:00Z,52,22,5,4,away win REG,left,Rexall Place,/api/v1/venues/null,America/Edmonton,-6,MDT,Edmonton,Winnipeg
1033,2013020004,20132014,R,2013-10-02T23:30:00Z,10,4,3,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT,Philadelphia,Toronto
1398,2013020005,20132014,R,2013-10-03T00:00:00Z,7,17,1,2,home win REG,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit,-4,EDT,Detroit,Buffalo
1513,2013020006,20132014,R,2013-10-03T01:30:00Z,24,21,1,6,home win REG,right,Pepsi Center,/api/v1/venues/null,America/Denver,-6,MDT,Colorado,Anaheim
1177,2013020007,20132014,R,2013-10-03T23:00:00Z,14,6,1,3,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT,Boston,Tampa Bay
1391,2013020008,20132014,R,2013-10-03T23:00:00Z,1,5,0,3,home win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York,-4,EDT,Pittsburgh,New Jersey
1664,2013020009,20132014,R,2013-10-03T23:00:00Z,20,15,4,5,home win SO,right,Verizon Center,/api/v1/venues/null,America/New_York,-4,EDT,Washington,Calgary
1980,2013020011,20132014,R,2013-10-04T00:00:00Z,26,30,3,2,away win SO,right,Xcel Energy Center,/api/v1/venues/null,America/Chicago,-5,CDT,Minnesota,Los Angeles
944,2013020010,20132014,R,2013-10-04T00:30:00Z,18,19,2,4,home win REG,left,Scottrade Center,/api/v1/venues/null,America/Chicago,-5,CDT,St Louis,Nashville
1897,2013020012,20132014,R,2013-10-04T00:30:00Z,13,25,4,2,away win REG,right,American Airlines Center,/api/v1/venues/null,America/Chicago,-5,CDT,Dallas,Florida
1002,2013020014,20132014,R,2013-10-04T02:00:00Z,23,28,1,4,home win REG,left,SAP Center at San Jose,/api/v1/venues/null,America/Los_Angeles,-7,PDT,San Jose,Vancouver
1970,2013020013,20132014,R,2013-10-04T02:00:00Z,3,27,1,4,home win REG,,Jobing.com Arena,/api/v1/venues/null,America/Phoenix,-7,MST,Phoenix,NY Rangers
